ts,customer_id,action,data
2025-10-08T16:56:47.243049,CUST_008,nlp_apply,"{""msg"": ""i need 6lakhs for my tution fees"", ""parsed_amount"": 600000, ""purpose"": ""education""}"
2025-10-08T16:59:44.317060,CUST_025,nlp_apply,"{""msg"": ""i need 6lakhs for my tution fees"", ""parsed_amount"": 600000, ""purpose"": ""education""}"
2025-10-09T17:04:59.962087,CUST_039,nlp_apply,"{""msg"": ""I need 5 lakh for wedding"", ""parsed_amount"": 500000, ""purpose"": ""wedding""}"
2025-10-09T17:05:17.129234,CUST_039,apply_approve,credit:745;emi:16607.15;dti:0.132
2025-10-09T17:05:17.150041,CUST_039,sanction_pdf_generated,sanction_CUST_039_20251009T170517Z.pdf
2025-10-11T20:30:02.878614,CUST_034,apply_refer,credit:670;emi:33214.31;dti:0.35
2025-10-11T21:05:33.749313,CUST_006,apply_approve,credit:756;emi:16607.15;dti:0.247
2025-10-11T21:05:33.774042,CUST_006,sanction_pdf_generated,sanction_CUST_006_20251011T210533Z.pdf
2025-10-11T21:10:18.652955,CUST_007,apply_refer,credit:679;emi:26571.45;dti:0.337
2025-10-11T21:13:45.754894,CUST_017,apply_approve,credit:750;emi:23250.02;dti:0.304
2025-10-11T21:13:45.806826,CUST_017,sanction_pdf_generated,sanction_CUST_017_20251011T211345Z.pdf
2025-10-11T21:19:09.164911,CUST_009,apply_refer,credit:600;emi:26571.45;dti:0.536
2025-10-11T21:28:24.332684,CUST_007,apply_refer,credit:679;emi:16607.15;dti:0.211
2025-10-11T21:32:23.165701,CUST_008,apply_approve,credit:718;emi:19928.59;dti:0.324
2025-10-11T21:32:23.186546,CUST_008,sanction_pdf_generated,sanction_CUST_008_20251011T213223Z.pdf
2025-10-11T21:38:43.891277,CUST_040,apply_approve,credit:721;emi:26571.45;dti:0.269
2025-10-11T21:38:43.912401,CUST_040,sanction_pdf_generated,sanction_CUST_040_20251011T213843Z.pdf
2025-10-12T10:11:13.582070,CUST_006,apply_approve,"credit:756;emi:16607.15;dti:0.247"
2025-10-12T10:11:13.670570,CUST_006,sanction_pdf_generated,"sanction_CUST_006_20251012T101113Z.pdf"
2025-10-12T17:41:45.430290,CUST_008,apply_approve,"credit:718;emi:26571.45;dti:0.432"
2025-10-12T17:41:45.448056,CUST_008,sanction_pdf_generated,"sanction_CUST_008_20251012T174145Z.pdf"
2025-10-13T04:55:25.815595,CUST_009,apply_refer,"credit:600;emi:26571.45;dti:0.536"
2025-10-13T11:40:44.287153,CUST_009,apply_refer,"credit:600;emi:26571.45;dti:0.536"
2025-10-15T09:37:50.386748,CUST_007,apply_refer,"credit:679;emi:23250.02;dti:0.295"
2025-10-15T09:38:31.705199,CUST_040,apply_approve,"credit:721;emi:6642.86;dti:0.067"
2025-10-15T09:38:31.730628,CUST_040,sanction_pdf_generated,"sanction_CUST_040_20251015T093831Z.pdf"
